libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyuv r2212+dfaf7534-2
libzmf 0.0.2-10
licenses 20200427-1
linux-api-headers 5.12.3-1
linux-firmware 20210511.7685cf4-1
linux-lts 5.10.46-1
linux-lts-headers 5.10.46-1
llvm-libs 12.0.0-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lpsolve 5.5.2.11-1
lsof 4.94.0-1
lua 5.4.3-1
lua51 5.1.5-9
lua51-lpeg 1.0.2-3
lua51-mpack 1.0.8-3
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lvm2 2.03.12-1
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxsession 1:0.5.5-1
lynx 2.8.9-3
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.12-1
md4c 0.4.8-1
mesa 21.1.3-1
metis 5.1.0.p10-2
mkinitcpio 30-1
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0-2
mpg123 1.28.0-1
mpv 1:0.33.1-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mujs 1.1.3-1
mypaint-brushes1 1.3.1-1
ncdu 1.15.1-2
ncurses 6.2-2
neofetch 7.1.0-2
neon 0.31.2-1
neovim-git 0.4.0.r3876.gb585f723b-1
neovim-symlinks 4-1
nerd-fonts-iosevka 2.1.0-2
netpbm 10.73.34-1
nettle 3.7.3-1
network-manager-applet 1.22.0-1
networkmanager 1.32.0-1
nitrogen 1.6.1-3
nm-connection-editor 1.22.0-1
node-gyp 8.1.0-2
nodejs 16.4.0-1
nodejs-nopt 5.0.0-2
npm 7.17.0-1
npth 1.6-3
nspr 4.31-1
nss 3.67-1
ntfs-3g 2017.3.23-5
obconf 2.0.4-7
obmenu-generator 0.89-1
ocs-url 3.1.0-7
openbox 3.6.1-7
opencore-amr 0.1.5-5
openexr 3.0.4-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.6p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
otf-san-francisco 1:2-1
p11-kit 0.24.0-1
packagekit 1.2.3-4
pacman 6.0.0-3
pacman-mirrorlist 20210509-1
pam 1.5.1-1
pambase 20210605-2
pamixer 1.4-6
pango 1:1.48.5-1
pango-perl 1.227-14
pangomm 2.46.1-2
pantheon-music 5.0.5-5
parcellite 1.2.1-4
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.37-1
perl 5.34.0-1
perl-data-dump 1.23-7
perl-error 0.17029-3
perl-linux-desktopfiles 0.25-2
perl-mailtools 2.21-5
perl-timedate 2.33-3
picom-git 1598_Next.36.g2a23c24_2021.06.20-1
pinentry 1.1.1-1
pixman 0.40.0-1
pkgconf 1.7.3-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-gnome 0.105-8
polybar 3.5.6-1
pomotroid-bin 0.13.0-1
poppler 21.06.1-1
poppler-data 0.4.10-1
poppler-glib 21.06.1-1
popt 1.18-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 14.2-3
python 3.9.5-3
python-appdirs 1.4.4-3
python-attrs 21.2.0-1
python-automat 20.2.0-6
python-beaker 1.11.0-6
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-click 8.0.1-1
python-constantly 15.1.0-9
python-cryptography 3.4.7-1
python-distro 1.5.0-3
